,text,general_tags,specific_tags,token_tagset
0,kasi sa mga video napapanood ko ng korean at japanese dami lalakeng nagpakulay buhok sa kanila even mga student sa school kaya assume ko hindi binabastos mga may kulay buhok doon .,"['CONJ', 'CONJ', 'DT', 'NOUN', 'VBPR', 'PR', 'CONJ', 'NOUN', 'IN', 'JJ', 'NOUN', 'NOUN', 'VBPT', 'NOUN', 'CONJ', 'PR', 'RB', 'DT', 'NOUN', 'CONJ', 'NOUN', 'CONJ', 'VB', 'PR', 'RB', 'VBPR', 'DT', 'VB', 'NOUN', 'NOUN', 'PR', 'PUNC']","['CCR', 'CCT', 'DTCP', 'NN', 'VBTR', 'PRS', 'CCB', 'NNC', 'IN', 'JJ', 'NNC', 'NNC', 'VBTS', 'NNC', 'CCT', 'PRSP', 'RB', 'DTCP', 'NN', 'CCT', 'NN', 'CCR', 'VB', 'PRS', 'RBF', 'VBTR', 'DTCP', 'VBH', 'NNC', 'NNC', 'PRL', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,"Question sir , sa mga owners ng unit nato jan . Ako lang ba nkakaexperience na sobrang bagal ng mobile internet ko sa kanya ?","['NOUN', 'NOUN', 'PUNC', 'CONJ', 'DT', 'NOUN', 'CONJ', 'NOUN', 'RB', 'NOUN', 'PUNC', 'PR', 'RB', 'RB', 'NOUN', 'CCP', 'JJ', 'NOUN', 'CONJ', 'JJ', 'NOUN', 'PR', 'CONJ', 'PR', 'PUNC']","['NN', 'NN', 'PMC', 'CCT', 'DTCP', 'NNS', 'CCB', 'NN', 'RBR', 'NNC', 'PMP', 'PRS', 'RBI', 'RBI', 'NN', 'CCP', 'JJCS', 'NNC', 'CCB', 'JJ', 'NN', 'PRS', 'CCT', 'PRSP', 'PMQ']","['Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
2,Magkano po ang price range para naman po hindi maloko o ma-overprice ng sobra ?,"['PROPN', 'UH', 'DT', 'NOUN', 'NOUN', 'CONJ', 'RB', 'UH', 'RB', 'JJ', 'PUNC', 'VB', 'CONJ', 'JJ', 'PUNC']","['NNP', 'UH', 'DTC', 'NN', 'NN', 'CCT', 'RBI', 'UH', 'RBF', 'JJD', 'NFP', 'VBW', 'CCB', 'JJCS', 'PMQ']","['MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
3,"But I want you to be strong , kasi ang lahat ng ito ay diversionary tactics sa mangyayaring hearing sa Lunes .","['CONJ', 'CD', 'VB', 'PR', 'XX', 'VB', 'NOUN', 'PUNC', 'CONJ', 'DT', 'PR', 'CONJ', 'PR', 'LM', 'JJ', 'NOUN', 'CONJ', 'VB', 'NOUN', 'CONJ', 'PROPN', 'PUNC']","['CC', 'CDB', 'VB', 'PRP', 'XX', 'VB', 'NNC', 'PMC', 'CCR', 'DTC', 'PRI', 'CCB', 'PRO', 'LM', 'JJ', 'NNS', 'CCT', 'VBW', 'NNC', 'CCT', 'NNP', 'PMP']","['Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
4,Siguro what I can offer lang is yung experience na lumabas ka with an average girl HAHAHAHAHA sabi ng friends ko funny ako kasama so malay mo mapatawa kita kahit papano .,"['RB', 'PR', 'CD', 'NOUN', 'NOUN', 'RB', 'VBPR', 'PR', 'NOUN', 'CCP', 'VB', 'PR', 'IN', 'DT', 'JJ', 'NOUN', 'PROPN', 'VB', 'CONJ', 'NOUN', 'PR', 'JJ', 'PR', 'CONJ', 'RB', 'NOUN', 'UH', 'VB', 'NOUN', 'CONJ', 'RB', 'PUNC']","['RBM', 'WP', 'CDB', 'NNC', 'NN', 'RBI', 'VBZ', 'PRO', 'NN', 'CCP', 'VBAF', 'PRS', 'IN', 'DTC', 'JJ', 'NN', 'NNPA', 'VBS', 'CCB', 'NNS', 'PRS', 'JJ', 'PRS', 'CCB', 'RB', 'NNC', 'UH', 'VBW', 'NNC', 'CCT', 'RBQ', 'PMP']","['MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
5,You can tell your reason why bakit sila ang pinili mo .,"['PR', 'NOUN', 'VB', 'PR', 'NOUN', 'RB', 'PR', 'PR', 'DT', 'VB', 'UH', 'PUNC']","['PRP', 'NNC', 'VB', 'PRP$', 'NN', 'WRB', 'PRQ', 'PRP', 'DTC', 'VBOF', 'UH', 'PMP']","['Flair', 'MGNN', 'Flair', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
6,Nag-iisa lng ako sa dorm kaya i think mas cheap kung bibili ng lutong ulam at mas convenient pa . Kaso concerned ako kung healthy ba ung canned goods regularly ...,"['VBPR', 'NOUN', 'PR', 'CONJ', 'NOUN', 'CONJ', 'NOUN', 'VB', 'JJ', 'JJ', 'CONJ', 'VBFT', 'CONJ', 'NOUN', 'NOUN', 'IN', 'JJ', 'JJ', 'RB', 'PUNC', 'CONJ', 'JJ', 'PR', 'CONJ', 'JJ', 'RB', 'DT', 'VBPT', 'NOUN', 'RB', 'SYM']","['VBTR', 'NNC', 'PRS', 'CCT', 'NN', 'CCR', 'NNCA', 'VB', 'JJCC', 'JJ', 'CCR', 'VBTF', 'CCB', 'NNC', 'NNC', 'IN', 'JJCC', 'JJ', 'RBI', 'PMP', 'CCR', 'JJ', 'PRS', 'CCR', 'JJ', 'RBI', 'DTC', 'VBN', 'NNS', 'RB', 'PMS']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN']"
7,"Ibig sabihin malaking kabawasan ito sa gastusin ng aktres . Anyway , how true na magkakampi ang incumbent vice governor ng Zambales na kalaban ni Mayor Jay sa politika at ang kanyang ex-wife ?","['VB', 'VB', 'JJ', 'NOUN', 'PR', 'CONJ', 'VB', 'CONJ', 'NOUN', 'PUNC', 'PROPN', 'PUNC', 'RB', 'JJ', 'CCP', 'VBPR', 'DT', 'NOUN', 'RB', 'NOUN', 'CONJ', 'PROPN', 'CCP', 'NOUN', 'DT', 'PROPN', 'PROPN', 'CONJ', 'NOUN', 'IN', 'DT', 'PR', 'NOUN', 'PUNC']","['VBS', 'VBOF', 'JJD', 'NNC', 'PRO', 'CCT', 'VBOF', 'CCB', 'NNC', 'PMP', 'NNP', 'PMC', 'WRB', 'JJ', 'CCP', 'VBTR', 'DTC', 'NN', 'RB', 'NN', 'CCB', 'NNP', 'CCP', 'NNC', 'DTP', 'NNP', 'NNP', 'CCT', 'NNC', 'IN', 'DTC', 'PRSP', 'NN', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'Flair', 'MGNN']"
8,Umabot na sa 3 million views ang music video sa YouTube .,"['VB', 'CCP', 'CONJ', 'CD', 'CD', 'NOUN', 'DT', 'NOUN', 'NOUN', 'CONJ', 'PROPN', 'PUNC']","['VBAF', 'CCP', 'CCT', 'CDB', 'CD', 'NNS', 'DTC', 'NN', 'NN', 'CCT', 'NNP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'Flair', 'Flair', 'MGNN', 'Flair', 'MGNN']"
9,"Hihintayin na lang ito sa telebisyon , at worst , mabibili na lang ito sa pirated DVDs . Naikuwento pa na walang means ang mga nabanggit na producer at filmmaker para sa bonggang promo , gaya ng ginagawa para sa mainstream films .","['PROPN', 'CCP', 'RB', 'PR', 'CONJ', 'NOUN', 'PUNC', 'IN', 'JJ', 'PUNC', 'VBFT', 'CCP', 'RB', 'PR', 'CONJ', 'JJ', 'NOUN', 'PUNC', 'VBPR', 'RB', 'CCP', 'VB', 'VBPR', 'DT', 'DT', 'VBPT', 'CCP', 'NOUN', 'IN', 'NOUN', 'CONJ', 'CONJ', 'JJ', 'NOUN', 'PUNC', 'JJ', 'CONJ', 'VBPR', 'CONJ', 'CONJ', 'NOUN', 'NOUN', 'PUNC']","['NNP', 'CCP', 'RBI', 'PRO', 'CCT', 'NNC', 'PMC', 'IN', 'JJS', 'PMC', 'VBTF', 'CCP', 'RBI', 'PRO', 'CCT', 'JJ', 'NNS', 'PMP', 'VBTR', 'RBI', 'CCP', 'VBN', 'VBZ', 'DTC', 'DTCP', 'VBTS', 'CCP', 'NN', 'IN', 'NN', 'CCT', 'CCT', 'JJD', 'NN', 'PMC', 'JJC', 'CCB', 'VBTR', 'CCT', 'CCT', 'NN', 'NNS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Flair', 'Flair', 'MGNN']"
