,text,general_tags,specific_tags,token_tagset
0,kasi sa mga video napapanood ko ng korean at japanese dami lalakeng nagpakulay buhok sa kanila even mga student sa school kaya assume ko hindi binabastos mga may kulay buhok doon .,"['CONJ', 'CONJ', 'DT', 'NOUN', 'VBPR', 'PR', 'CONJ', 'NOUN', 'IN', 'PROPN', 'NOUN', 'NOUN', 'VBPT', 'NOUN', 'CONJ', 'PR', 'RB', 'DT', 'NOUN', 'CONJ', 'PROPN', 'CONJ', 'PROPN', 'PR', 'RB', 'VBPR', 'DT', 'VB', 'NOUN', 'NOUN', 'PR', 'PUNC']","['CCR', 'CCT', 'DTCP', 'NN', 'VBTR', 'PRS', 'CCB', 'NNC', 'IN', 'NNP', 'NNC', 'NNC', 'VBTS', 'NNC', 'CCT', 'PRSP', 'RB', 'DTCP', 'NN', 'CCT', 'NNP', 'CCR', 'NNP', 'PRS', 'RBF', 'VBTR', 'DTCP', 'VBH', 'NNC', 'NNC', 'PRL', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,"Question sir , sa mga owners ng unit nato jan . Ako lang ba nkakaexperience na sobrang bagal ng mobile internet ko sa kanya ?","['NOUN', 'NOUN', 'PUNC', 'CONJ', 'DT', 'NOUN', 'CONJ', 'NOUN', 'FW', 'FW', 'PUNC', 'PR', 'RB', 'RB', 'NOUN', 'CCP', 'JJ', 'JJ', 'CONJ', 'PROPN', 'PROPN', 'PR', 'CONJ', 'PR', 'PUNC']","['NN', 'NN', 'PMC', 'CCT', 'DTCP', 'NNS', 'CCB', 'NN', 'FW', 'FW', 'PMP', 'PRS', 'RBI', 'RBI', 'NN', 'CCP', 'JJCS', 'JJD', 'CCB', 'NNP', 'NNP', 'PRS', 'CCT', 'PRSP', 'PMQ']","['Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
2,Magkano po ang price range para naman po hindi maloko o ma-overprice ng sobra ?,"['VB', 'PROPN', 'DT', 'NOUN', 'NOUN', 'CONJ', 'RB', 'PROPN', 'RB', 'JJ', 'PROPN', 'FW', 'CONJ', 'JJ', 'PUNC']","['VBW', 'NNP', 'DTC', 'NN', 'NN', 'CCT', 'RBI', 'NNP', 'RBF', 'JJD', 'NNP', 'FW', 'CCB', 'JJCS', 'PMQ']","['MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
3,"But I want you to be strong , kasi ang lahat ng ito ay diversionary tactics sa mangyayaring hearing sa Lunes .","['CONJ', 'CD', 'VBPR', 'PR', 'TO', 'VB', 'FW', 'PUNC', 'CONJ', 'DT', 'PR', 'CONJ', 'PR', 'LM', 'JJ', 'NOUN', 'CONJ', 'NOUN', 'FW', 'CONJ', 'PROPN', 'PUNC']","['CC', 'CDB', 'VBP', 'PRP', 'TO', 'VB', 'FW', 'PMC', 'CCR', 'DTC', 'PRI', 'CCB', 'PRO', 'LM', 'JJ', 'NNS', 'CCT', 'NNC', 'FW', 'CCT', 'NNP', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
4,Siguro what I can offer lang is yung experience na lumabas ka with an average girl HAHAHAHAHA sabi ng friends ko funny ako kasama so malay mo mapatawa kita kahit papano .,"['RB', 'PR', 'CD', 'FW', 'VB', 'RB', 'VBPR', 'PR', 'NOUN', 'CCP', 'VBPT', 'PR', 'IN', 'DT', 'JJ', 'NOUN', 'FW', 'VB', 'CONJ', 'NOUN', 'PR', 'PROPN', 'PR', 'CONJ', 'RB', 'NOUN', 'PROPN', 'VB', 'NOUN', 'CONJ', 'RB', 'PUNC']","['RBM', 'WP', 'CDB', 'FW', 'VB', 'RBI', 'VBZ', 'PRO', 'NN', 'CCP', 'VBTS', 'PRS', 'IN', 'DTC', 'JJ', 'NN', 'FW', 'VBS', 'CCB', 'NNS', 'PRS', 'NNP', 'PRS', 'CCB', 'RB', 'NNC', 'NNP', 'VBW', 'NNC', 'CCT', 'RBQ', 'PMP']","['MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
5,You can tell your reason why bakit sila ang pinili mo .,"['PR', 'FW', 'VB', 'PR', 'NOUN', 'RB', 'PR', 'PR', 'DT', 'VB', 'PROPN', 'PUNC']","['PRP', 'FW', 'VB', 'PRP$', 'NN', 'WRB', 'PRQ', 'PRP', 'DTC', 'VBOF', 'NNP', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
6,Nag-iisa lng ako sa dorm kaya i think mas cheap kung bibili ng lutong ulam at mas convenient pa . Kaso concerned ako kung healthy ba ung canned goods regularly ...,"['VBPR', 'NOUN', 'PR', 'CONJ', 'PROPN', 'CONJ', 'NOUN', 'PROPN', 'JJ', 'VBPR', 'CONJ', 'VBFT', 'CONJ', 'JJ', 'NOUN', 'PROPN', 'JJ', 'IN', 'RB', 'PUNC', 'CONJ', 'PUNC', 'PR', 'CONJ', 'PROPN', 'RB', 'PR', 'PROPN', 'PROPN', 'VBPT', 'SYM']","['VBTR', 'NNCA', 'PRS', 'CCT', 'NNP', 'CCR', 'NNCA', 'NNP', 'JJCC', 'VBP', 'CCR', 'VBTF', 'CCB', 'JJD', 'NNC', 'NNP', 'JJCC', 'IN', 'RBI', 'PMP', 'CCR', '.', 'PRS', 'CCR', 'NNP', 'RBI', 'PRO', 'NNP', 'NNP', 'VBN', 'PMS']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
7,"Ibig sabihin malaking kabawasan ito sa gastusin ng aktres . Anyway , how true na magkakampi ang incumbent vice governor ng Zambales na kalaban ni Mayor Jay sa politika at ang kanyang ex-wife ?","['VB', 'VB', 'JJ', 'NOUN', 'PR', 'CONJ', 'NOUN', 'CONJ', 'NOUN', 'PUNC', 'CONJ', 'PUNC', 'RB', 'JJ', 'CCP', 'VB', 'DT', 'JJ', 'NOUN', 'NOUN', 'CONJ', 'PROPN', 'CCP', 'NOUN', 'DT', 'PROPN', 'PROPN', 'CONJ', 'NOUN', 'IN', 'DT', 'PR', 'PROPN', 'PUNC']","['VBS', 'VBOF', 'JJD', 'NNC', 'PRO', 'CCT', 'NNC', 'CCB', 'NNC', 'PMP', 'CCB', 'PMC', 'WRB', 'JJ', 'CCP', 'VBW', 'DTC', 'JJ', 'NN', 'NN', 'CCB', 'NNP', 'CCP', 'NNC', 'DTP', 'NNP', 'NNP', 'CCT', 'NNC', 'IN', 'DTC', 'PRSP', 'NNP', 'PMQ']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
8,Umabot na sa 3 million views ang music video sa YouTube .,"['VB', 'RB', 'CONJ', 'CD', 'CD', 'NOUN', 'DT', 'NOUN', 'NOUN', 'CONJ', 'PROPN', 'PUNC']","['VBAF', 'RBI', 'CCT', 'CDB', 'CD', 'NNS', 'DTC', 'NN', 'NN', 'CCT', 'NNP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN']"
9,"Hihintayin na lang ito sa telebisyon , at worst , mabibili na lang ito sa pirated DVDs . Naikuwento pa na walang means ang mga nabanggit na producer at filmmaker para sa bonggang promo , gaya ng ginagawa para sa mainstream films .","['PROPN', 'CCP', 'RB', 'PR', 'CONJ', 'NOUN', 'PUNC', 'IN', 'JJ', 'PUNC', 'VBFT', 'RB', 'RB', 'PR', 'CONJ', 'VBPT', 'NOUN', 'PUNC', 'VBPT', 'RB', 'CCP', 'VB', 'VBPR', 'DT', 'DT', 'VBPT', 'CCP', 'NOUN', 'IN', 'NOUN', 'CONJ', 'CONJ', 'JJ', 'PROPN', 'PUNC', 'JJ', 'CONJ', 'VBPR', 'CONJ', 'CONJ', 'NOUN', 'NOUN', 'PUNC']","['NNP', 'CCP', 'RBI', 'PRO', 'CCT', 'NNC', 'PMC', 'IN', 'JJS', 'PMC', 'VBTF', 'RBI', 'RBI', 'PRO', 'CCT', 'VBN', 'NNS', 'PMP', 'VBTS', 'RBI', 'CCP', 'VBN', 'VBZ', 'DTC', 'DTCP', 'VBTS', 'CCP', 'NN', 'IN', 'NN', 'CCT', 'CCT', 'JJD', 'NNP', 'PMC', 'JJC', 'CCB', 'VBTR', 'CCT', 'CCT', 'NN', 'NNS', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'MGNN']"
